epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
118,20.274716,16.735887,3.538829,20.505244,17.155550,3.349694,7.3e-04,4.8
119,20.086186,16.598217,3.487969,20.601147,16.910041,3.691106,7.1e-04,4.8
120,20.045520,16.535640,3.509880,20.394303,16.839183,3.555120,7.0e-04,4.7
121,19.997959,16.498283,3.499676,20.350387,16.865894,3.484493,6.8e-04,4.8
122,20.010398,16.517585,3.492813,20.193423,16.670238,3.523186,6.7e-04,4.8
123,19.854748,16.387743,3.467005,20.166385,16.589393,3.576992,6.5e-04,4.8
124,19.949797,16.469974,3.479824,20.063933,16.675221,3.388712,6.4e-04,4.9
125,19.804887,16.353562,3.451326,20.335709,16.739027,3.596682,6.2e-04,5.0
126,19.742088,16.292685,3.449403,19.788586,16.551462,3.237125,6.1e-04,4.6
127,19.883801,16.394542,3.489259,19.924213,16.516331,3.407881,6.0e-04,4.5
128,19.587683,16.147125,3.440558,19.575557,16.398080,3.177477,5.8e-04,4.3
129,19.738371,16.299291,3.439080,19.845339,16.301190,3.544149,5.7e-04,5.0
130,19.678909,16.204742,3.474167,19.953989,16.471463,3.482526,5.5e-04,4.5
131,19.546196,16.093844,3.452352,19.613955,16.373147,3.240808,5.4e-04,4.9
132,19.569347,16.121003,3.448344,19.814741,16.474598,3.340143,5.3e-04,4.3
133,19.430150,16.016822,3.413328,19.992023,16.352051,3.639972,5.1e-04,4.3
134,19.409148,15.986935,3.422213,19.799541,16.262709,3.536832,5.0e-04,4.4
135,19.336389,15.926155,3.410234,19.567171,16.453680,3.113491,4.9e-04,4.6
136,19.364507,15.960344,3.404163,19.528327,16.201935,3.326393,4.7e-04,4.5
137,19.230594,15.847946,3.382648,19.764575,16.186032,3.578543,4.6e-04,4.8
138,19.376390,15.967739,3.408651,19.702603,16.109805,3.592798,4.5e-04,4.9
139,19.189046,15.780450,3.408596,19.911159,16.171934,3.739225,4.3e-04,4.4
140,19.182784,15.786602,3.396182,19.845922,16.297114,3.548807,4.2e-04,4.6
141,19.207053,15.790561,3.416493,19.304416,16.006052,3.298365,4.1e-04,4.2
142,19.097487,15.711788,3.385699,19.328859,16.064338,3.264521,4.0e-04,4.1
143,18.965703,15.622240,3.343463,19.256241,15.940839,3.315402,3.8e-04,4.2
144,19.170270,15.774359,3.395911,19.179508,15.862601,3.316906,3.7e-04,4.4
145,19.006465,15.593538,3.412927,19.016258,15.921033,3.095225,3.6e-04,4.4
146,18.911566,15.572429,3.339137,19.663154,16.004192,3.658962,3.5e-04,4.4
147,18.881506,15.506135,3.375370,19.053017,15.912166,3.140851,3.4e-04,4.2
148,18.799795,15.467172,3.332623,19.159826,15.918837,3.240989,3.2e-04,4.2
149,18.888378,15.514202,3.374175,19.382968,15.888370,3.494598,3.1e-04,4.4
150,18.674553,15.329356,3.345197,19.114268,15.756025,3.358243,3.0e-04,5.2
151,18.842461,15.469113,3.373348,19.068065,15.731317,3.336748,2.9e-04,4.8
152,18.814443,15.457851,3.356592,19.090170,15.734545,3.355625,2.8e-04,4.8
153,18.775814,15.382193,3.393620,19.067550,15.806979,3.260571,2.7e-04,4.8
154,18.690558,15.315881,3.374676,18.890213,15.644437,3.245776,2.6e-04,4.7
155,18.652616,15.304304,3.348312,18.853148,15.587797,3.265352,2.5e-04,4.7
156,18.545142,15.248887,3.296255,19.054658,15.736572,3.318087,2.4e-04,4.4
157,18.655519,15.283594,3.371925,18.996479,15.618873,3.377606,2.3e-04,4.5
158,18.550615,15.233028,3.317587,18.824221,15.471610,3.352611,2.2e-04,4.6
159,18.569008,15.235530,3.333478,19.011536,15.580776,3.430760,2.1e-04,4.4
160,18.498746,15.171240,3.327506,18.815388,15.581721,3.233667,2.0e-04,4.2
161,18.541262,15.213902,3.327360,18.752938,15.455454,3.297484,1.9e-04,4.2
162,18.489397,15.138652,3.350745,18.731918,15.514072,3.217845,1.8e-04,4.3
163,18.479783,15.130055,3.349728,18.631801,15.409924,3.221876,1.7e-04,4.3
164,18.398782,15.094664,3.304118,18.502893,15.395459,3.107433,1.6e-04,4.4
165,18.402343,15.067217,3.335126,18.657061,15.475995,3.181066,1.6e-04,4.3
166,18.330921,15.022204,3.308717,18.783339,15.442796,3.340543,1.5e-04,4.3
167,18.288654,15.009126,3.279528,18.551762,15.354296,3.197466,1.4e-04,4.4
168,18.360490,15.045659,3.314831,18.691205,15.460180,3.231025,1.3e-04,4.5
169,18.341930,15.025353,3.316577,18.587196,15.332026,3.255170,1.3e-04,4.6
170,18.416897,15.063976,3.352921,18.652901,15.401586,3.251315,1.2e-04,4.5
171,18.438298,15.112612,3.325686,18.506913,15.344745,3.162168,1.1e-04,4.5
172,18.348735,15.029822,3.318913,18.641468,15.396521,3.244946,1.0e-04,4.6
173,18.267074,14.960301,3.306772,18.636808,15.416310,3.220497,9.8e-05,4.4
174,18.221633,14.942168,3.279465,18.558424,15.280573,3.277851,9.2e-05,4.3
175,18.237637,14.950575,3.287062,18.364969,15.228005,3.136964,8.6e-05,4.2
176,18.279982,14.945780,3.334202,18.567741,15.314287,3.253455,8.0e-05,4.2
177,18.174892,14.884105,3.290787,18.334109,15.238946,3.095163,7.4e-05,4.3
178,18.265515,14.946784,3.318731,18.556486,15.365777,3.190709,6.9e-05,4.3
179,18.217149,14.894788,3.322361,18.597484,15.312445,3.285039,6.4e-05,4.3
180,18.276302,14.932435,3.343867,18.688437,15.382929,3.305507,5.9e-05,4.3
