iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
155,27.30,21.6500,29.0782,23.3144,0.3802,1.0e-04,,,5.4
156,26.19,20.5574,28.3518,23.1511,0.3820,1.0e-04,,,5.4
157,27.31,21.2641,28.9733,23.0640,0.4034,1.0e-04,,,5.4
158,26.54,20.8410,30.1284,23.1764,0.3900,1.0e-04,,,5.4
159,25.74,20.1734,27.5043,23.3561,0.3797,1.0e-04,,,5.4
160,25.97,20.6199,28.3766,23.3156,0.3669,1.0e-04,24.54,0.24,5.4
161,26.24,20.5598,30.4534,23.4036,0.3874,1.0e-04,,,5.4
162,26.32,20.8859,28.1302,23.1553,0.3755,1.0e-04,,,5.4
163,26.80,21.1594,29.0290,23.1390,0.3881,1.0e-04,,,5.4
164,26.96,21.2824,30.2726,23.1775,0.3862,1.0e-04,,,5.4
165,27.51,21.6328,30.0640,23.2266,0.3839,1.0e-04,,,5.4
166,27.09,21.3285,28.2455,23.2173,0.3853,1.0e-04,,,5.4
167,26.54,20.7133,30.0198,22.9447,0.3946,1.0e-04,,,5.4
168,27.08,21.4168,29.8336,23.2715,0.3832,1.0e-04,,,5.4
169,25.46,19.8457,27.5516,23.2342,0.3861,1.0e-04,,,5.4
170,26.41,20.9316,29.3340,23.2333,0.3667,1.0e-04,22.99,0.16,5.4
171,25.69,20.3859,28.7987,23.2265,0.3565,1.0e-04,,,5.4
172,25.96,20.4773,30.4733,23.2684,0.3737,1.0e-04,,,5.4
173,26.83,21.3465,29.0547,23.1791,0.3684,1.0e-04,,,5.4
174,26.74,21.3012,28.6510,23.2824,0.3744,1.0e-04,,,5.4
175,27.54,22.0527,31.0989,23.1974,0.3663,1.0e-04,,,5.4
176,25.41,20.2055,27.9646,23.1447,0.3542,1.0e-04,,,5.4
177,26.05,20.7070,28.3027,23.3345,0.3699,1.0e-04,,,5.4
178,26.09,20.5562,29.0557,23.4714,0.3824,1.0e-04,,,5.4
179,26.46,20.9051,28.5390,23.0885,0.3802,1.0e-04,,,5.4
180,25.21,19.7395,27.0817,23.0342,0.3858,1.0e-04,25.24,0.27,5.4
181,26.07,20.4340,27.7746,22.9881,0.3960,1.0e-04,,,5.3
182,26.55,20.7398,28.7096,22.9896,0.3944,1.0e-04,,,5.4
183,26.61,20.8953,29.3578,22.9719,0.3873,1.0e-04,,,5.4
184,26.79,20.9379,28.9649,22.8136,0.3964,1.0e-04,,,5.4
185,26.95,21.1133,29.0133,22.8871,0.3922,1.0e-04,,,5.4
186,25.63,19.8898,27.8009,22.9637,0.4000,1.0e-04,,,5.4
187,25.94,20.5074,28.7287,23.0195,0.3895,1.0e-04,,,5.4
188,26.21,20.5598,28.9017,23.1125,0.3907,1.0e-04,,,5.4
189,26.36,20.6086,28.9840,22.9236,0.3932,1.0e-04,,,5.4
190,26.48,20.8949,28.5226,23.0693,0.3776,1.0e-04,22.90,0.16,5.4
191,25.27,20.0527,27.5940,23.1212,0.3647,1.0e-04,,,5.4
192,26.21,20.8410,29.6322,23.3599,0.3501,1.0e-04,,,5.4
193,25.80,20.5387,28.1185,23.2908,0.3587,1.0e-04,,,5.3
194,25.66,20.3773,29.0239,23.2167,0.3608,1.0e-04,,,5.4
195,26.62,20.9562,29.6983,22.9265,0.3909,1.0e-04,,,5.4
196,26.32,20.5375,29.4945,23.1015,0.3950,1.0e-04,,,5.4
197,27.07,21.2648,30.1063,23.1880,0.3848,1.0e-04,,,5.4
198,26.35,20.8262,28.0823,23.0825,0.3759,1.0e-04,,,5.4
199,25.53,20.3656,27.1154,23.1662,0.3520,1.0e-04,,,5.4
200,25.80,20.3547,28.6517,23.2482,0.3707,1.0e-04,24.40,0.20,5.4
201,26.05,20.6340,28.2086,23.2489,0.3783,1.0e-04,,,5.4
202,25.68,20.0867,28.5014,23.0015,0.3937,1.0e-04,,,5.3
203,25.97,20.2836,26.8715,23.0993,0.3890,1.0e-04,,,5.4
204,27.47,21.5359,29.0307,22.8523,0.3954,1.0e-04,,,5.4
205,27.56,21.7895,29.5218,22.8070,0.3862,1.0e-04,,,5.4
206,27.12,21.5980,28.0406,22.8140,0.3734,1.0e-04,,,5.4
207,27.66,21.9789,28.6254,23.0945,0.3745,1.0e-04,,,5.4
208,26.81,20.9980,29.0714,23.1474,0.3886,1.0e-04,,,5.4
209,26.50,20.8156,29.4809,23.0737,0.3883,1.0e-04,,,5.4
210,26.21,20.6023,29.2972,23.0428,0.3869,1.0e-04,25.40,0.25,5.4
211,26.83,21.1883,29.3178,23.2078,0.3739,1.0e-04,,,5.4
212,26.61,21.0891,29.3538,23.2015,0.3792,1.0e-04,,,5.4
213,25.98,20.5023,29.4440,23.0681,0.3677,1.0e-04,,,5.4
214,25.84,20.5043,28.3027,23.1109,0.3467,1.0e-04,,,5.4
215,25.75,20.5051,27.6096,22.9225,0.3533,1.0e-04,,,5.3
216,26.05,20.7434,28.2386,23.3528,0.3606,1.0e-04,,,5.4
217,26.92,21.6004,30.2014,23.3203,0.3458,1.0e-04,,,5.4
218,25.62,20.4055,27.8316,23.2841,0.3494,1.0e-04,,,5.4
219,26.12,20.6238,30.2664,23.4926,0.3762,1.0e-04,,,5.4
220,25.61,20.3316,28.7064,23.2586,0.3683,1.0e-04,24.07,0.19,5.4
221,26.54,21.1512,28.8869,23.0755,0.3640,1.0e-04,,,5.4
222,27.17,21.6465,28.2655,23.2017,0.3699,1.0e-04,,,5.4
223,25.76,20.0910,28.7960,23.3133,0.3902,1.0e-04,,,5.4
224,28.04,22.0770,30.7123,22.9181,0.3922,1.0e-04,,,5.4
225,26.76,20.9719,28.6825,22.9442,0.3912,1.0e-04,,,5.4
226,26.18,20.5824,27.6639,23.1518,0.3832,1.0e-04,,,5.4
227,28.50,22.5602,29.8849,22.8339,0.3894,1.0e-04,,,5.4
228,27.90,21.8703,29.7330,22.8569,0.4005,1.0e-04,,,5.4
229,26.40,20.7609,28.8363,22.8404,0.3880,1.0e-04,,,5.4
230,26.71,20.8566,29.4136,22.8725,0.3965,1.0e-04,25.77,0.30,5.4
231,27.79,21.8801,28.7160,23.0719,0.3962,1.0e-04,,,5.4
232,27.08,21.3145,28.6109,23.0412,0.3822,1.0e-04,,,5.4
233,26.08,20.4793,28.2089,23.0059,0.3862,1.0e-04,,,5.4
234,26.69,20.9156,28.7405,22.9154,0.3967,1.0e-04,,,5.4
235,27.60,21.7070,29.5788,22.9233,0.3904,1.0e-04,,,5.4
236,26.48,20.8148,28.9114,22.9750,0.3803,1.0e-04,,,5.4
237,26.29,20.7512,29.3009,23.0057,0.3726,1.0e-04,,,5.4
238,26.75,21.3746,28.8147,23.3245,0.3537,1.0e-04,,,5.4
239,25.43,20.2219,27.6496,23.1355,0.3582,1.0e-04,,,5.4
240,26.32,20.8328,28.6330,23.4360,0.3627,1.0e-04,23.97,0.17,5.4
241,26.06,20.7441,29.3604,23.3348,0.3605,1.0e-04,,,5.4
242,25.68,20.1766,28.2653,23.0857,0.3831,1.0e-04,,,5.4
243,26.86,21.0805,28.9720,23.1961,0.3868,1.0e-04,,,5.4
244,26.45,20.8051,28.9532,23.0968,0.3882,1.0e-04,,,5.4
245,26.75,20.9422,28.7763,22.8009,0.3959,1.0e-04,,,5.4
246,26.80,20.7570,28.4765,22.8223,0.3959,1.0e-04,,,5.4
247,26.46,20.6570,27.5542,22.6041,0.4006,1.0e-04,,,5.4
248,27.76,21.5809,28.9260,22.6754,0.4063,1.0e-04,,,5.4
249,27.44,21.4852,29.2343,23.0190,0.4006,1.0e-04,,,5.4
250,26.95,21.0266,28.1256,22.8247,0.4003,1.0e-04,25.79,0.30,5.4
251,27.52,21.6547,28.7719,22.6830,0.3901,1.0e-04,,,5.4
252,26.63,20.9766,28.2167,22.5524,0.3786,1.0e-04,,,5.4
253,27.27,21.4660,27.6235,22.6846,0.3892,1.0e-04,,,5.4
254,28.00,22.2059,29.2840,22.6294,0.3950,1.0e-04,,,5.4
255,28.49,22.4922,30.1990,22.6738,0.3935,1.0e-04,,,5.4
256,27.08,21.2930,28.7763,22.7325,0.3932,1.0e-04,,,5.4
257,27.34,21.4418,28.9713,22.8631,0.3938,1.0e-04,,,5.4
258,26.19,20.4773,28.1238,22.8685,0.3800,1.0e-04,,,5.4
259,27.16,21.5563,29.2035,23.2472,0.3861,1.0e-04,,,5.4
260,28.47,22.7066,30.8090,23.1342,0.3911,1.0e-04,25.82,0.30,5.4
