epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
129,1.744893,0.400675,-3.707178,1.695723,2.9e-04,85.5
130,1.743933,0.400249,-3.706175,1.697572,2.8e-04,85.4
131,1.741200,0.400254,-3.705288,1.693037,2.7e-04,84.6
132,1.738520,0.400974,-3.706999,1.683079,2.7e-04,87.2
133,1.737240,0.400684,-3.707644,1.682557,2.6e-04,85.6
134,1.734362,0.400355,-3.708106,1.668390,2.5e-04,86.4
135,1.732186,0.399527,-3.708108,1.686392,2.5e-04,85.8
136,1.729533,0.400193,-3.710029,1.672114,2.4e-04,85.6
137,1.729433,0.400803,-3.710834,1.663136,2.3e-04,85.5
138,1.728648,0.401276,-3.711159,1.666238,2.3e-04,84.7
139,1.725058,0.400471,-3.709585,1.675031,2.2e-04,85.7
140,1.723337,0.400829,-3.711127,1.665605,2.1e-04,85.5
141,1.720222,0.401022,-3.710762,1.679571,2.1e-04,85.7
142,1.719325,0.402331,-3.712728,1.647890,2.0e-04,85.8
143,1.718633,0.402811,-3.712619,1.658364,2.0e-04,86.4
144,1.718463,0.402544,-3.715212,1.659472,1.9e-04,86.0
145,1.716005,0.401712,-3.713584,1.647378,1.8e-04,85.1
146,1.715049,0.402052,-3.714587,1.644889,1.8e-04,87.1
147,1.712169,0.401572,-3.715402,1.644805,1.7e-04,85.6
148,1.709948,0.401506,-3.714568,1.654557,1.7e-04,86.6
149,1.707831,0.401693,-3.716246,1.636320,1.6e-04,86.4
150,1.708338,0.402182,-3.716509,1.650107,1.5e-04,85.5
151,1.705954,0.402297,-3.717259,1.668340,1.5e-04,85.5
152,1.705379,0.402725,-3.717799,1.637131,1.4e-04,84.7
153,1.705755,0.403754,-3.717113,1.662933,1.4e-04,85.4
154,1.703679,0.402773,-3.717051,1.640424,1.3e-04,85.5
155,1.702391,0.402727,-3.717391,1.633935,1.3e-04,85.5
156,1.700991,0.403137,-3.717776,1.630750,1.2e-04,85.4
157,1.698880,0.402794,-3.717673,1.632693,1.2e-04,85.5
158,1.698713,0.402884,-3.718220,1.646345,1.1e-04,85.8
159,1.696075,0.402887,-3.718179,1.629334,1.1e-04,85.9
160,1.695784,0.402474,-3.718317,1.653708,1.0e-04,86.7
161,1.693613,0.402236,-3.718635,1.626607,1.0e-04,85.5
162,1.693402,0.402434,-3.718363,1.625469,9.6e-05,84.8
163,1.691945,0.402407,-3.718988,1.621796,9.1e-05,85.5
164,1.692864,0.403318,-3.720672,1.627149,8.7e-05,85.5
165,1.691168,0.403348,-3.720349,1.625890,8.3e-05,85.5
166,1.691083,0.403504,-3.720068,1.614072,7.9e-05,85.1
167,1.689782,0.403624,-3.720344,1.627968,7.5e-05,86.8
168,1.689024,0.403346,-3.720196,1.636229,7.1e-05,85.5
169,1.686910,0.403231,-3.719464,1.617348,6.8e-05,84.7
170,1.685908,0.403034,-3.719788,1.618694,6.4e-05,85.5
171,1.685127,0.402992,-3.719485,1.614744,6.0e-05,85.5
