epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
56,2.897547,2.738752,0.2534,0.8879,0.8172,0.8511,0.1588,2.972054,2.811734,0.2533,0.6543,0.8493,0.7391,0.1603,0.0745,3.4e-03,178.6
57,2.890540,2.732384,0.2543,0.8940,0.8175,0.8540,0.1582,2.963093,2.806385,0.2539,0.5957,0.8863,0.7125,0.1567,0.0726,3.4e-03,179.3
58,2.886938,2.732556,0.2543,0.8951,0.8218,0.8569,0.1544,2.962859,2.806554,0.2539,0.7026,0.8112,0.7530,0.1563,0.0759,3.4e-03,178.7
59,2.879901,2.727448,0.2551,0.8915,0.8169,0.8525,0.1525,2.964980,2.811879,0.2541,0.7555,0.7868,0.7708,0.1531,0.0851,3.4e-03,178.8
60,2.874239,2.722056,0.2560,0.8920,0.8184,0.8536,0.1522,2.954168,2.801712,0.2548,0.6914,0.8317,0.7551,0.1525,0.0799,3.4e-03,179.3
61,2.873101,2.720161,0.2563,0.8943,0.8196,0.8553,0.1529,2.967722,2.815273,0.2533,0.6740,0.8322,0.7448,0.1524,0.0946,3.3e-03,178.8
62,2.869098,2.716606,0.2568,0.8918,0.8207,0.8548,0.1525,2.963049,2.813001,0.2529,0.6406,0.8615,0.7348,0.1500,0.0940,3.3e-03,178.8
63,2.864700,2.712358,0.2575,0.8935,0.8196,0.8550,0.1523,2.956325,2.802853,0.2552,0.6775,0.8341,0.7477,0.1535,0.0916,3.3e-03,179.4
64,2.861716,2.709554,0.2580,0.8921,0.8187,0.8539,0.1522,2.956166,2.805344,0.2553,0.6839,0.8273,0.7488,0.1508,0.0945,3.3e-03,178.7
65,2.859596,2.707679,0.2585,0.8970,0.8198,0.8566,0.1519,2.956032,2.804093,0.2557,0.6930,0.8424,0.7605,0.1519,0.0964,3.2e-03,178.9
66,2.852148,2.700301,0.2593,0.8989,0.8214,0.8584,0.1518,2.957705,2.807009,0.2540,0.7189,0.8010,0.7577,0.1507,0.1056,3.2e-03,179.4
67,2.850818,2.698703,0.2597,0.8950,0.8240,0.8580,0.1521,2.974555,2.819713,0.2546,0.6539,0.8527,0.7402,0.1548,0.1237,3.2e-03,178.7
68,2.844656,2.692790,0.2607,0.8926,0.8218,0.8557,0.1519,2.951420,2.800182,0.2557,0.6578,0.8644,0.7470,0.1512,0.1068,3.2e-03,178.7
69,2.843753,2.691723,0.2607,0.8984,0.8269,0.8612,0.1520,2.967870,2.816950,0.2562,0.6178,0.8712,0.7229,0.1509,0.1241,3.1e-03,179.2
70,2.841226,2.689106,0.2613,0.8982,0.8231,0.8590,0.1521,2.964189,2.809825,0.2548,0.6512,0.8488,0.7370,0.1544,0.1230,3.1e-03,178.7
71,2.837592,2.685320,0.2621,0.8975,0.8269,0.8608,0.1523,2.945881,2.792359,0.2568,0.7096,0.8190,0.7604,0.1535,0.1083,3.1e-03,178.8
